,following,len_name,num_tweets,screen_name
194,447,13,16146,IamAkinnola_O
195,1917,11,5945,SimuChigudu
196,479,5,20704,Jite_
197,0,13,2522,yungnollywood
198,544,9,88469,_Ayooluwa
199,595,14,62677,AishaSalaudeen
200,650,8,12850,bhary0ur
201,1419,8,12808,Chin_iAm
202,507,10,11196,kunmicoker
203,25,6,8653,mmay3r
204,1430,12,5507,YeleBademosi
205,452,12,75199,EditiEffiong
206,181,15,1282,TheStoicEmperor
207,255,9,2001,ChijiokeD
208,1569,9,11119,kola_aina
209,2,10,1863,TravelVida
210,829,11,28282,Folakunmi_A
211,381,7,62968,mau_dej
212,188,11,4277,demiakingbe
213,943,8,23655,SHEISUKI
214,1895,13,4929,philhazlewood
215,173,12,13,Ajoke_George
216,887,10,194437,Noahpinion
217,3179,14,143251,OnePerfectShot
218,582,10,110784,Maffffssss
219,2190,11,2634,Yorubafacts
220,412,14,190822,Theycallmetobi
221,898,13,20597,victorsozaboy
222,1491,13,7125,asteroid_saku
223,2746,11,34709,kolatubosun
224,808,14,26070,Ayishat_Akanbi
225,2374,10,206374,AbangMercy
226,647,12,18468,andrewfootie
227,1146,11,17081,bosuntijani
228,925,13,6858,simonkolawole
229,671,10,18787,Abiolajazz
230,363,8,47197,Vans_Obi
231,315,8,25942,Tito_Jay
232,232,7,11733,archpng
233,715,7,6115,SaeeduH
234,496,8,12356,djRudii_
235,412,6,32280,SeunA_
236,16148,15,23081,hallaboutafrica
237,215,10,2129,SimShagaya
238,986,9,35692,GregNoire
239,805,15,45129,LiamPaulCanning
240,507,13,25042,DollsBamgboye
241,2995,12,16413,davidpilling
242,547,9,17201,seunsmith
243,225,11,6962,TojuAdedeji
244,571,12,112094,ShecrownLita
245,547,10,5680,BABAmiLEKO
246,988,11,78068,JoshuaKissi
247,210,7,2486,nnayo_o
248,1024,6,34067,abxola
249,945,14,72929,ayodejirotinwa
250,2254,11,6082,MohiniUfeli
251,674,5,19890,naval
252,870,5,117101,xniyi
253,435,13,17711,EromoEgbejule
254,3712,11,4008,WCS_Nigeria
255,452,8,19852,bilikiss
256,1083,9,2650,NNPtweets
257,639,9,60789,Mikey_Fam
258,1,10,4047,mungerisms
259,590,15,9751,yoruba_proverbs
260,358,12,2657,TundeIrukera
261,1786,13,16843,jasonzweigwsj
262,2128,14,68537,GbenroAdegbola
263,3646,14,91314,ReformedBroker
264,855,9,9157,CNNAfrica
265,1327,11,1794,misanrewane
266,856,11,13080,NOA_Nigeria
267,4653,13,21828,rachelmsavage
268,195,13,28910,OmotolaAriyo_
269,672,13,53333,knightofdelta
270,878,10,20848,Kay_O_Kalu
271,293,10,125714,jibola_oki
272,0,14,45,nayyirahwaheed
273,1510,8,8751,its_tofa
274,103,10,656,TefoMohapi
275,367,8,4548,Alloraa_
276,198,11,17804,TosinAshafa
277,568,11,9337,GeraldSagoe
278,356,6,60830,asymco
279,1206,9,78825,PeterOzzy
280,351,10,10241,JamesClear
281,2649,11,1351,waleajibade
282,1,15,17828,artofwar_suntzu
283,1867,14,10532,PaulWallace123
284,39,13,2040,TradeInvestNG
285,5375,14,34459,SoledadFrancis
286,157,11,16738,YinkaWrites
287,759,13,85342,TheYomiKazeem
288,777,12,6377,kaushikcbasu
289,305,12,56,purefoyAMEBO
290,1,9,20826,gucci1017
291,110,8,1679,dozieokk
292,824,9,9499,Nun_River
293,4431,15,93176,blossomozurumba
294,322,13,32750,SoleilLevantK
295,2122,7,127532,eldivyn
296,223,10,3483,RumuWonodi
297,734,9,22285,TimeyinPI
298,540,7,8649,DrDotun
299,882,9,57679,andyRoidO
300,536,10,22153,Femi_fabio
301,316,7,1655,afdozie
302,250,13,10321,LopesInsights
303,238,7,19416,Dolllss
304,64,15,13964,ArtificialLawya
305,595,10,5307,EfosaOjomo
306,0,12,100362,kelechi_naba
307,2,15,30867,YiddishProverbs
308,308,10,33587,vivalabada
309,855,9,77698,BBCAfrica
310,3264,14,121943,TheFifographer
311,955,9,19089,Randomexe
312,200,14,959,dimejisofowora
313,435,13,1752,FadekemiAbiru
314,6540,10,209139,ImohUmoren
315,294,13,6096,YrsaDaleyWard
316,177,7,227,akediia
317,166,12,21587,farnamstreet
318,487,6,40396,ovxosu
319,3,8,14351,qzafrica
320,549,11,91938,Ruud_bishop
321,385,12,43612,bisiogunwale
322,293,12,57686,AffiSupaStar
323,1208,6,73174,hartng
324,874,13,17396,officialkuddi
325,72,15,8793,republicjournal
326,54,15,195,ijeomaumebinyuo
327,4572,9,30672,orwellguy
328,273,9,803,LarryUchN
329,474,8,20020,OpeRunzy
330,747,7,21147,emose__
331,886,8,23313,AbiiSola
332,780,6,35661,BabaMJ
333,1966,15,123910,wolfofnewstreet
334,3413,10,359,niyiokeowo
335,1867,9,196887,LadyDonli
336,1035,10,18787,_DDesigns_
337,1601,12,14567,MatthewTPage
338,1771,9,239136,allafrica
339,2,15,2487,SeeMeSeeNigeria
340,748,10,4968,Wami_Aluko
341,2076,13,11212,CallMeBenfigo
342,365,7,5754,Timi_OD
343,465,12,15575,MagnumPhotos
344,421,7,12180,enyeasi
345,1042,9,107035,BabaAgba_
346,176,14,26091,StearsBusiness
347,615,11,79012,iconicDemoe
348,1477,8,21043,MoyoFuga
349,1,9,7670,NativeMag
350,556,12,125898,iTweetBanter
351,389,8,10228,LoLalade
352,839,15,50716,odunsitheengine
353,1936,14,108679,Gbengaolaniyii
354,5209,14,36278,IrenosenOkojie
355,1532,12,228668,TheTobiSmith
356,247,14,295,theirinjournal
357,221,6,6598,PosiOg
358,560,8,22120,Daytea_O
359,1692,6,53245,_Logor
360,391,6,12662,Ebss_A
361,440,8,22880,feyikewa
362,854,15,8874,_HONESTMOMENTS_
363,718,12,39685,LaVidaLolaaa
364,1463,10,76227,JudeJagger
365,3161,11,13603,AkinSawyerr
366,21281,5,123825,adage
367,1226,6,33567,nonso2
368,10,15,5123,OnlyAfricaFacts
369,376,11,3533,fathermerry
370,1011,12,10439,stephhegarty
371,934,8,20301,Mimalee_
372,2006,12,21231,blackthought
373,240,9,628,_teetaiwo
374,677,13,66176,trustfundbaby
375,707,8,9975,daymee98
376,184,14,12459,mannyjefferson
377,751,8,9269,joshuaoj
378,463,9,12198,MissDambo
379,438,8,12811,Asiyaa_A
380,2374,7,103679,ikeanya
381,225,11,1989,George_tade
382,120,13,12,steffi_teresa
